residhen	2851
lampus	2850
raos	2842
wadyabala	2842
suwe	2841
c	2837
tetela	2836
rat	2834
tuwuh	2834
lon	2833
kadamel	2829
warni-warni	2829
dumadi	2826
kori	2823
kering	2822
pulo	2822
wedi	2820
batin	2818
sakehing	2817
duka	2817
catur	2817
sagunging	2817
asru	2814
jawata	2813
sipat	2812
pisah	2808
kawarna	2807
watak	2806
kuneng	2806
winarni	2806
rajeng	2804
guwa	2801
dhingin	2800
eling	2798
semana	2793
andika	2784
surat	2783
prawira	2781
ngadeg	2774
wenang	2772
naga	2770
sadherek	2770
menawa	2769
rupa	2767
ardi	2762
dhisik	2753
taman	2739
kabar	2733
melu	2725
sageda	2725
kantor	2719
ngisor	2718
giri	2712
lampahing	2709
gampang	2707
priyayi	2706
kardi	2704
sakedhik	2689
kitab	2688
wurung	2686
raga	2682
dak	2681
pepak	2674
inggris	2673
kabekta	2670
tamu	2669
saupami	2667
purwa	2664
luput	2663
mangkin	2657
tau	2650
turu	2644
maos	2644
sanajan	2640
pitu	2639
ting	2638
pangandikanipun	2637
daya	2635
lepen	2634
golek	2629
ambekta	2629
satunggiling	2628
mongsa	2627
nangis	2615
panganten	2614
dhokter	2612
andadosaken	2610
wicaksana	2606
sesakit	2600
sanga	2596
sawijining	2596
anggening	2594
masjid	2590
telung	2589
tulis	2588
pranatan	2585
emas	2583
kajawen-balai-pustaka	2582
abang	2580
ajeng	2575
prameswari	2574
priksa	2572
lumaku	2570
kabupaten	2569
antawis	2565
pawestri	2555
arab	2555
kawarnaa	2551
patang	2549
kawontenan	2544
ngayogyakarta	2541
sangkala	2540
mangkunagara	2540
rupiyah	2536
sanak	2533
singa	2521
buku	2520
papat	2512
ngucap	2511
gampil	2505
kancil	2505
salat	2504
wondene	2504
bagawan	2504
sari	2502
kajaba	2500
j	2499
gantya	2495
pepatih	2495
ngaturi	2491
adoh	2490
nala	2485
tumraping	2485
sumangga	2485
ragi	2476
binekta	2475
ngungun	2466
peteng	2464
eca	2464
pasar	2464
resik	2462
pinggir	2460
jemparing	2459
nglakoni	2456
apa-apa	2456
ngono	2455
nyambut	2454
wiji	2453
nging	2450
padhang	2447
jiwa	2445
kalebet	2438
tandha	2437
menak	2436
tiwas	2434
lungguh	2434
tinimbang	2431
alas	2429
tiba	2426
akathah	2426
nyawa	2422
pangulu	2421
dede	2418
sireki	2418
jer	2412
lakune	2409
remen	2409
ingong	2404
awake	2402
dasih	2402
tumingal	2401
upama	2401
wusnya	2399
gumuruh	2399
sireku	2394
ayuda	2394
babagan	2391
watu	2387
umur	2387
pareng	2386
rahayu	2384
manggen	2383
nini	2382
bidhal	2381
laki	2370
kaparingan	2370
nunggil	2369
ngarep	2362
anake	2359
wesi	2355
ireng	2351
pangreh	2348
panggonan	2346
panjang	2346
rusak	2340
sabrang	2340
kiyai	2339
hawa	2337
mundhut	2335
amarengi	2331
jaran	2327
ratri	2327
lumebet	2323
kapareng	2322
sampurna	2321
ajar	2320
pikir	2319
sarya	2318
lima	2317
kaget	2312
panewu	2311
karana	2308
samodra	2302
sadurunge	2301
lumayu	2300
sapanunggilanipun	2299
aweh	2298
widhi	2293
yun	2289
tresna	2287
masa	2282
iii	2277
milu	2277
lintang	2270
kadosdene	2269
buta	2262
godhong	2262
lawang	2260
rabi	2253
jenenge	2253
kapitan	2246
la	2244
mayor	2244
wicanten	2242
v	2240
satengah	2238
widi	2236
yudhisthira	2235
ngaturaken	2234
wikan	2230
tilar	2229
rare	2227
asma	2225
jalma	2224
dhek	2219
dianggo	2219
swargi	2218
wiku	2217
no	2215
asri	2215
ler	2215
liwat	2214
akalihan	2211
ahli	2210
lelampahan	2205
swarga	2201
kebo	2200
katrangan	2199
pawartos	2199
anggen	2198
jaba	2194
dhalang	2189
kapir	2188
buyut	2187
bekta	2186
gangsa	2183
swaraning	2181
temtu	2179
ewu	2179
batawi	2177
apadene	2177
pangarsa	2172
ngemasi	2171
iwak	2168
daging	2166
katri	2165
puluh	2164
punang	2164
winastan	2162
cacah	2157
kadhawuhan	2156
ngayun	2155
karepe	2155
tandhing	2153
celak	2152
kocap	2152
isun	2152
yayah	2148
nindakaken	2146
bukti	2144
empu	2144
prasasat	2140
guna	2133
kocapa	2131
carita	2131
parepatan	2130
indonesia	2126
adat	2125
semar	2120
babad-kraton-british-library-add-ms	2119
tukang	2118
ngelmi	2118
sanjata	2111
negari	2111
malebet	2108
kapriye	2103
lemah	2102
bandara	2101
satunggil	2100
enget	2098
perangan	2096
betawi	2096
titi	2095
tetiga	2095
rehning	2095
esuk	2092
lagu	2089
asor	2088
sukur	2087
warih	2087
wanodya	2085
tumurun	2084
bawah	2083
kulit	2082
keris	2080
gih	2080
myarsa	2075
saderengipun	2074
tyasira	2073
nauri	2073
nateng	2070
satemene	2069
nindakake	2066
kalah	2065
menggahing	2065
kraton	2064
sabarang	2060
tumeka	2059
babar	2056
keni	2054
saweneh	2054
tuban	2054
pedhang	2053
watawis	2051
mengku	2050
sakehe	2048
kawi	2044
mantu	2042
sirah	2038
mongka	2038
priyantun	2034
pramila	2033
linuwih	2033
pamanggih	2031
kapti	2028
amangsuli	2027
pangan	2025
babad-jawi-british-library-mss-jav	2019
anut	2012
pangandika	2012
bokmanawi	2012
adhuh	2011
sak	2009
kalilan	2008
piwulang	2007
numpak	2007
ken	2004
sakedhap	2004
nemu	2000
sato	2000
risang	2000
semarang	1997
putu	1996
rumeksa	1994
pustaka	1994
udani	1988
gada	1986
wisnu	1985
majapait	1985
sinjang	1984
udan	1984
ateges	1983
pindha	1981
tangi	1981
lawas	1980
temenan	1978
kana	1978
biyung	1977
serat-serat	1975
batos	1974
kyana	1972
sagedipun	1970
dhuwung	1969
mudha	1968
lembu	1967
angel	1965
wungu	1965
aturira	1963
wangsulanipun	1963
dhemen	1961
manuk	1960
padamelan	1960
candra	1960
amuwus	1957
paprangan	1956
walanda	1953
suwawi	1952
mlebu	1950
amila	1950
rasul	1949
bungah	1949
sawatara	1946
gumuyu	1946
narpawandawa	1945
ak	1943
merga	1941
kudus	1939
sambetipun	1939
umum	1935
samubarang	1934
karna	1934
gumujeng	1932
benjang	1931
kepengin	1925
mengkana	1925
wong-wong	1924
karsanipun	1920
sepi	1919
sumedya	1917
abrit	1916
andulu	1915
patut	1914
mojar	1907
anglampahi	1907
panggawe	1906
mungel	1905
kanca	1903
wah	1902
pekik	1902
ical	1901
kethek	1898
sinau	1896
milih	1895
agawe	1891
cariyosipun	1890
pasanggrahan	1888
glis	1886
awor	1885
menang	1883
